city,year,month,day,size_bytes
Lagos,2019,8,5,85728
Lagos,2019,8,6,85935
Lagos,2019,8,7,85353
Lagos,2019,8,8,86170
Lagos,2019,8,9,86200
Lagos,2019,8,10,85820
Lagos,2019,8,11,85368
Lagos,2019,8,12,85567
Lagos,2019,8,13,85933
Lagos,2019,8,14,85666
Lagos,2019,8,15,85214
Lagos,2019,8,16,85790
Lagos,2019,8,17,85492
Lagos,2019,8,18,85710
Lagos,2019,8,19,85886
Lagos,2019,8,20,85671
Lagos,2019,8,21,86097
Lagos,2019,8,22,86063
Lagos,2019,8,23,86182
Lagos,2019,8,24,86340
Lagos,2019,8,25,85826
Lagos,2019,8,26,86121
Lagos,2019,8,27,86047
Lagos,2019,8,28,86366
Lagos,2019,8,29,85590
Lagos,2019,8,30,85486
Lagos,2019,8,31,85946
Lagos,2020,3,1,48603
Lagos,2020,3,2,48648
Lagos,2020,3,3,48707
Lagos,2020,3,4,48684
Lagos,2020,3,5,48676
Lagos,2020,3,6,48765
Lagos,2020,3,7,48813
Lagos,2020,3,8,48837
Lagos,2020,3,9,48675
Lagos,2020,3,10,48742
Lagos,2020,3,11,48702
Lagos,2020,3,12,48672
Lagos,2020,3,13,48696
Lagos,2020,3,14,48787
Lagos,2020,3,15,48782
Lagos,2020,3,16,48873
Lagos,2020,3,17,48834
Lagos,2020,3,18,48842
Lagos,2020,3,19,48900
Lagos,2020,3,20,48711
Lagos,2020,3,21,48675
Lagos,2020,3,22,48695
Lagos,2020,3,23,48825
Lagos,2020,3,24,48744
Lagos,2020,3,25,48779
Lagos,2020,3,26,48646
Lagos,2020,3,27,48726
Lagos,2020,3,28,48705
Lagos,2020,3,29,48791
Lagos,2020,3,30,48833
Lagos,2020,3,31,48735
Lagos,2020,6,1,85164
Lagos,2020,6,2,85211
Lagos,2020,6,3,85329
Lagos,2020,6,4,85629
Lagos,2020,6,5,85479
Lagos,2020,6,6,85663
Lagos,2020,6,7,85514
Lagos,2020,6,8,85639
Lagos,2020,6,9,86123
Lagos,2020,6,10,86203
Lagos,2020,6,11,86003
Lagos,2020,6,12,85979
Lagos,2020,6,13,85397
Lagos,2020,6,14,85641
Lagos,2020,6,15,85207
Lagos,2020,6,16,85591
Lagos,2020,6,17,85830
Lagos,2020,6,18,86165
Lagos,2020,6,19,86042
Lagos,2020,6,20,86035
Lagos,2020,6,21,86004
Lagos,2020,6,22,85606
Lagos,2020,6,23,85421
Lagos,2020,6,24,85493
Lagos,2020,6,25,85673
Lagos,2020,6,26,85810
Lagos,2020,6,27,85712
Lagos,2020,6,28,86068
Lagos,2020,6,29,86584
Lagos,2020,6,30,86137
Lagos,2020,7,1,85779
Lagos,2020,7,2,85683
Lagos,2020,7,3,86332
Lagos,2020,7,4,86627
Lagos,2020,7,5,86009
Lagos,2020,7,6,85326
Lagos,2020,7,7,86324
Lagos,2020,7,8,86309
Lagos,2020,7,9,86334
Lagos,2020,7,10,86391
Lagos,2020,7,11,86571
Lagos,2020,7,12,86106
Lagos,2020,7,13,85933
Lagos,2020,7,14,85754
Lagos,2020,7,15,85535
Lagos,2020,7,16,85714
Lagos,2020,7,17,85716
Lagos,2020,7,18,85527
Lagos,2020,7,19,85564
Lagos,2020,7,20,86217
Lagos,2020,7,21,86145
Lagos,2020,7,22,85888
Lagos,2020,7,23,85703
Lagos,2020,7,24,85508
Lagos,2020,7,25,85559
Lagos,2020,7,26,85855
Lagos,2020,7,27,85627
Lagos,2020,7,28,85987
Lagos,2020,7,29,85376
Lagos,2020,7,30,85537
Lagos,2020,7,31,86010
Lagos,2020,8,1,85150
Lagos,2020,8,2,84933
Lagos,2020,8,3,84793
Lagos,2020,8,4,84756
Lagos,2020,8,5,85019
Lagos,2020,8,6,84942
Lagos,2020,8,7,85200
Lagos,2020,8,8,84654
Lagos,2020,8,9,84857
Lagos,2020,8,10,85052
Lagos,2020,8,11,85042
Lagos,2020,8,12,84630
Lagos,2020,8,13,84896
Lagos,2020,8,14,85546
Lagos,2020,8,15,85337
Lagos,2020,8,16,84874
Lagos,2020,8,17,85079
Lagos,2020,8,18,84920
Lagos,2020,8,19,85132
Lagos,2020,8,20,85580
Lagos,2020,8,21,85619
Lagos,2020,8,22,85650
Lagos,2020,8,23,84813
Lagos,2020,8,24,84739
Lagos,2020,8,25,84987
Lagos,2020,8,26,84734
Lagos,2020,8,27,85190
Lagos,2020,8,28,85778
Lagos,2020,8,29,85721
Lagos,2020,8,30,85709
Lagos,2020,8,31,85982
Lagos,2021,6,1,85681
Lagos,2021,6,2,83316
Lagos,2021,6,3,85249
Lagos,2021,6,4,85459
Lagos,2021,6,5,86113
Lagos,2021,6,6,85308
Lagos,2021,6,7,84313
Lagos,2021,6,8,84796
Lagos,2021,6,9,85796
Lagos,2021,6,10,84920
Lagos,2021,6,11,84827
Lagos,2021,6,12,82960
Lagos,2021,6,13,84605
Lagos,2021,6,14,84709
Lagos,2021,6,15,85288
Lagos,2021,6,16,86262
Lagos,2021,6,17,86021
Lagos,2021,6,18,85369
Lagos,2021,6,19,85694
Lagos,2021,6,20,86134
Lagos,2021,6,21,86442
Lagos,2021,6,22,86078
Lagos,2021,6,23,86481
Lagos,2021,6,24,85731
Lagos,2021,6,25,85178
Lagos,2021,6,26,85866
Lagos,2021,6,27,84817
Lagos,2021,6,28,85683
Lagos,2021,6,29,85733
Lagos,2021,6,30,85826
Lagos,2021,7,1,85914
Lagos,2021,7,2,85803
Lagos,2021,7,3,86197
Lagos,2021,7,4,85853
Lagos,2021,7,5,85470
Lagos,2021,7,6,85909
Lagos,2021,7,7,85928
Lagos,2021,7,8,85774
Lagos,2021,7,9,86350
Lagos,2021,7,10,85927
Lagos,2021,7,11,85921
Lagos,2021,7,12,86013
Lagos,2021,7,13,86269
Lagos,2021,7,14,85894
Lagos,2021,7,15,86001
Lagos,2021,7,16,86112
Lagos,2021,7,17,85605
Lagos,2021,7,18,85399
Lagos,2021,7,19,85873
Lagos,2021,7,20,86102
Lagos,2021,7,21,85051
Lagos,2021,7,22,85276
Lagos,2021,7,23,85571
Lagos,2021,7,24,85478
Lagos,2021,7,25,85206
Lagos,2021,7,26,85330
Lagos,2021,7,27,85145
Lagos,2021,7,28,84934
Lagos,2021,7,29,85359
Lagos,2021,7,30,85983
Lagos,2021,7,31,85613
Lagos,2021,8,1,85415
Lagos,2021,8,2,85145
Lagos,2021,8,3,86231
Lagos,2021,8,4,86041
Lagos,2021,8,5,85991
Lagos,2021,8,6,85107
Lagos,2021,8,7,86271
Lagos,2021,8,8,86481
Lagos,2021,8,9,86284
Lagos,2021,8,10,85849
Lagos,2021,8,11,86651
Lagos,2021,8,12,86157
Lagos,2021,8,13,85887
Lagos,2021,8,14,85837
Lagos,2021,8,15,85856
Lagos,2021,8,16,85824
Lagos,2021,8,17,85589
Lagos,2021,8,18,85836
Lagos,2021,8,19,86284
Lagos,2021,8,20,86724
Lagos,2021,8,21,86555
Lagos,2021,8,22,86057
Lagos,2021,8,23,85540
Lagos,2021,8,24,86185
Lagos,2021,8,25,85927
Lagos,2021,8,26,86047
Lagos,2021,8,27,86279
Lagos,2021,8,28,85732
Lagos,2021,8,29,86257
Lagos,2021,8,30,86122
Lagos,2021,8,31,85229
Lagos,2022,6,1,85216
Lagos,2022,6,2,85390
Lagos,2022,6,3,85515
Lagos,2022,6,4,86198
Lagos,2022,6,5,85463
Lagos,2022,6,6,85261
Lagos,2022,6,7,84815
Lagos,2022,6,8,85668
Lagos,2022,6,9,85776
Lagos,2022,6,10,85956
Lagos,2022,6,11,85841
Lagos,2022,6,12,84696
Lagos,2022,6,13,85857
Lagos,2022,6,14,86534
Lagos,2022,6,15,86276
Lagos,2022,6,16,86197
Lagos,2022,6,17,86323
Lagos,2022,6,18,86560
Lagos,2022,6,19,85184
Lagos,2022,6,20,85513
Lagos,2022,6,21,86216
Lagos,2022,6,22,86060
Lagos,2022,6,23,85508
Lagos,2022,6,24,86111
Lagos,2022,6,25,86239
Lagos,2022,6,26,85797
Lagos,2022,6,27,85824
Lagos,2022,6,28,86653
Lagos,2022,6,29,86482
Lagos,2022,6,30,86662
Lagos,2022,7,1,86178
Lagos,2022,7,2,85417
Lagos,2022,7,3,84887
Lagos,2022,7,4,85965
Lagos,2022,7,5,86128
Lagos,2022,7,6,85318
Lagos,2022,7,7,86130
Lagos,2022,7,8,86208
Lagos,2022,7,9,86325
